timestamp,method,threads,n,serial_time,parallel_time,speedup
2026-03-24 15:55:13,static,1,1000,0.129250,0.115204,1.121923
2026-03-24 15:55:25,static,2,1000,0.126596,0.059556,2.125663
2026-03-24 15:55:39,static,4,1000,0.114527,0.037425,3.060174
2026-03-24 15:55:56,static,8,1000,0.115485,0.031562,3.658989
2026-03-24 15:56:09,static,16,1000,0.131313,0.026610,4.934724
2026-03-24 15:56:21,static,32,1000,0.131222,0.025274,5.191976
2026-03-24 15:56:49,static,1,2000,0.919514,1.051595,0.874399
2026-03-24 15:57:11,static,2,2000,1.035356,0.530446,1.951859
2026-03-24 16:19:07,static,4,2000,0.977684,0.393540,2.484332
2026-03-24 15:57:32,static,8,2000,1.014289,0.235939,4.298946
2026-03-24 15:57:45,static,16,2000,0.921493,0.263437,3.497963
2026-03-24 15:57:55,static,32,2000,0.965707,0.248071,3.892865
2026-03-24 16:10:37,static,1,3000,3.398495,3.303527,1.028747
2026-03-24 16:10:49,static,2,3000,3.352741,1.837646,1.824476
2026-03-24 16:11:01,static,4,3000,3.350917,1.497555,2.237592
2026-03-24 16:11:14,static,8,3000,3.381418,1.100041,3.073902
2026-03-24 16:11:27,static,16,3000,3.297061,1.047050,3.148905
2026-03-24 16:11:44,static,32,3000,3.337983,1.091359,3.058556
2026-03-24 16:22:15,accelerate,1,3000,3.344965,0.123472,27.090879
2026-03-24 18:58:41,double_blocked,10,1000,0.126983,0.074468,1.705202
2026-03-24 18:58:58,double_blocked,10,1000,0.133245,0.049446,2.694758
2026-03-24 18:59:14,double_blocked,10,1000,0.121870,0.044608,2.732021
2026-03-24 18:59:51,accelerate,10,5000,15.400210,0.597828,25.760269
2026-03-24 19:00:41,double_blocked,10,3000,3.276546,1.618585,2.024327
2026-03-24 19:00:58,double_blocked,10,3000,3.359102,1.154978,2.908369
2026-03-24 19:01:16,single_blocked,10,3000,3.404281,0.904530,3.763591
2026-03-24 19:01:36,single_blocked,10,3000,3.360001,1.204908,2.788595
2026-03-24 19:02:16,double_blocked,10,3000,3.326586,0.916345,3.630277
